"CompoundID,""MACCSKeysFingerprints""";;;;;
"Cmpd1,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000100000000000100000000000001100010000000000000000000011001000111000011100110011000101000111000011011110010110110001110101010111011011111110101110"""
"Cmpd2,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000100000000000100000000000001100000000000000000000000011001000101000011100110011000101000111000011011110010110110001110101010111011011111110101110"""
"Cmpd3,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000100000000000100000000000001100010000000000000000000011001000101000010100110011000101011111000011011110010110110001110111010111111011111111101110"""
"Cmpd4,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000100100000000100000000010001100010000000000000000000011001000111000011100110010000111000111000011011110110110110011110101011111011011111110101110"""
"Cmpd5,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000100100000000100000000010001100010000000000000000000011001000101000010100110010000111001111000011011110110100110011110101011111011011111110101110"""
"Cmpd6,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000100000000000100000000000001100010000000000010000000011001000111000011100110010000111000111000011011110010110110001110101011111011011111110101110"""
"Cmpd7,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000100000000000100000000000001100000000000000010000000011001000101000011100110011000111000111000011011110010110110001110101011111011011111110101110"""
"Cmpd8,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000000000010000000000010000000010001000111000011100110000000110000111000011011110000110110001110101000111011011111110101110"""
"Cmpd9,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001100010000000000010000000011001000111000010100110010000110000111000011011110000110110001100101011111011001111110101110"""
"Cmpd10,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001100010000000000010000000011001000111000010100110010000110000111000011011110000110110001100101011111011001111110101110"""
"Cmpd11,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000001000000101000000000101001000000000000000000000011101110101001100001111111000011000111000010011111001101100001110101100101010011111110101110"""
"Cmpd12,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001001000000000000010000000000000010000001010101101101000010000111000011011111001111110001110101101111010011111110101110"""
"Cmpd13,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001001000000000000010000000000000110100001101101111101000110010111001111011111001111100001110111100111110011111111101110"""
"Cmpd14,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000100000000100000000010001100000000000000010000000011000010101001010100110010000010010111001010011110000000100011110111010101110011111111101110"""
"Cmpd15,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000110000000000101100000000000100000000000011000010101001000100111010000100000111100011011110011100110001111101110111010111111110101110"""
"Cmpd16,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000100000000100000000010001100000000000000100000000001000000101000011100110110000010000111100011011110011100110001101101110111010101111110101110"""
"Cmpd17,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000100000100000000000011000000000000000000000000010001000101000001101110001010101010111000011011111000111100001110111000111111011111111100110"""
"Cmpd18,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000101000000000001001000000000000000000000011101100101000100001111111000011000111000011011111001101010001110101100111010011111110101110"""
"Cmpd19,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001000000000000000010000000010000010101001010100110001000000010111001011011110000110100001110111000111110011111111100110"""
"Cmpd20,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001000000000000000010000000010000010101001110100110000000000010111001011011110001100110001110111100111110011111111100110"""
"Cmpd21,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001000000000000001010000000010000010101001011100110001000100000111000011011110000110100001110101000111010011111110100110"""
"Cmpd22,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000100000000000000000000000100000000000001000000000000001010000000010000010101001010100110001000100000111000011011110000110100001110101000111010011111110100110"""
"Cmpd23,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000001000000100000000100000000010001100000000000000000000000011001000011000011100100011000110000111000011011110101100111011110101111111011011111110101110"""
"Cmpd24,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001100010000000000000000000011001010101001011100110011000100010111000011011110000110100001110111010111111011111111101110"""
"Cmpd25,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000100000000000100000000000001100000000000000000000000011001000111000011100110011000101011111000011011110010110100001110111010111111011111111101110"""
"Cmpd26,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000001000000000000000100000000000001100000000000000000000000011001000011000011100100011000100010111001111011110001110111001110111110111111011111111101110"""
"Cmpd27,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000010000000100000000010001000000000000000000000000011001000111010011100110011000100110111000011011110000110111111110111010111111011111111101110"""
"Cmpd28,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001100000000000000000000000011001000111000011100110011000100010111000011011110000110100001110111010111111011111111101110"""
"Cmpd29,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000000100000000000000000000000011001000111000011100110011000100000111000011011110000110100001110101010111011011111110101110"""
"Cmpd30,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000100000000100000000000001100000000000000000000000011001000111000011100110011000110010111000011011110100110100001110111011111111011111111101110"""
"Cmpd31,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001100000000000000000000000011001000111000011100110011000100010111100011011110011110100001111111110111111111111111101110"""
"Cmpd32,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000001000000000000000110000000000101100000000000000000000000001001010111001011100110010000110000111000011011110001110101001110101110111011011111110101110"""
"Cmpd33,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000100000110000000000001100000000000000000000000011000010101101100100111011010010000111000011011111000111010001110101010111010011111110101110"""
"Cmpd34,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000100000100000000000001100000000000000000000000011000000101100101100111011010100000111000011011111100111110001110101011111011011111110101110"""
"Cmpd35,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001100010000000000000000000011001000111000011100111011000100010111000011011110100110100001110111011111111011111111101110"""
"Cmpd36,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001100000000000000000000000011000000101000011100110011000100000111000011011110100110110001110101011111011111111110101110"""
"Cmpd37,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001100000000000000010000000011000000101000010100110011000100010111001011011110100110110001110111011111111111111111101110"""
"Cmpd38,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001100000000000000000000000011001000111000011100111011000100010111000011011110000110100001110111010111111011111111101110"""
"Cmpd39,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000100000100000000000001100000000000000000000000011001000101000011101110011010101010111000011011111000111110001110111010111111011111111101110"""
"Cmpd40,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001000100000000000000000000000000011000001010100100001000100000111000011000110000110110001010101000111001011111110100100"""
"Cmpd41,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001000100000000000000000000000000010000001010100100000000100010111000011000110000100110001010111000111101011111111100100"""
"Cmpd42,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001000100000000000010000000100000010000001010100100000000100000111001011000110000000110001010111000111101011111111100100"""
"Cmpd43,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001100100000000000000000000001000010000001010100100010000100000111000011000110000100110001010101010111011011111110101110"""
"Cmpd44,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001000000000000000000000000010000010101001000100110001000100000111000011011110000110110001110101000111010011111110100110"""
"Cmpd45,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000010001000000000000000000000000011000010101001000100110010000100000111000011011110000110110001110101000111010011111110100110"""
"Cmpd46,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001000100000000000000000000000000010000001010100001000000100000111000011000110000110110001010101000111001011111110100100"""
"Cmpd47,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001000000000000000000000000000000001000000010100100001000100000111000011000110000110110001010101000111001011111110100100"""
"Cmpd48,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001000000000000000000000000000000000000000010100100000000100010111000011000110000100110001000111000111101001111111100100"""
"Cmpd49,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001100000000000000000000000001000010001001000110100010000100010111000111000110000110110001010111010111110011111111101110"""
"Cmpd50,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001000000000000000000000000000000010001101000110100001000100010111001111000110000110110001010111000111100011111111100100"""
"Cmpd51,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001000000000000000010000000010000010101001010100110001000000010111001011011110000110100001110111000111110011111111100110"""
"Cmpd52,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001000000000000000000000000010000010101001000100110001000100000111000011011110000110110001110101000111010011111110100110"""
"Cmpd53,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001000000000000000010000000100000000000000010100100000000100000111001011000110000000110001000111000111101001111111100100"""
"Cmpd54,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001000000000000000010000000100000000000000011100100000000100000111001011000110000100110001000111000111101001111111100100"""
"Cmpd55,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001000000000000000010000000000000000000000011100100000000100000111011111000110000010110001000111000111101001111111100100"""
"Cmpd56,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001100000000000000000000000001000000000000010100100010000100000111000011000110000100110001000101010111011001111110101110"""
"Cmpd57,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001000000000000000000000000010001000111000001100110001000000000111000011011110000110110001110101000111011011111110100110"""
"Cmpd58,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001000000000000000000000000010001000111000001100110001000100010111000011011110000110100001110111000111111011111111100110"""
"Cmpd59,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001000000000000000010000000110001000111000011100110001000000000111001011011110000110100001110111000111111011111111100110"""
"Cmpd60,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001000000000000000010000000010001000111000011100110001000000000111011111011110000110100001110111000111111011111111100110"""
"Cmpd61,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001100010000000000000000000001001000010000000100100010000100000111000010000110000100110001010101010101011011111110101110"""
"Cmpd62,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001100010000000000000000000001001000010000010100100010000100010111000010000110000000100001000111010101111001111111101110"""
"Cmpd63,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001100010000000000010000000101001000010000011100100010000100000111001010000110000000100001000111010101111001111111101110"""
"Cmpd64,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001100010000000000010000000001001000010000011100100010000100000111011111000110000010100001000111010111111001111111101110"""
"Cmpd65,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000000000000000000000010000000010000010101101010100010001000000010111001011011100000110100001110111000111110011110111100110"""
"Cmpd66,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000000000000000000000000000000010000010101001000100110000000100010111010011011110010110110001110111000111110011111111100110"""
"Cmpd67,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001000000000000000000000000000000010000001011000000000000100000001000001000010000110110001010100000110000011101010000100"""
"Cmpd68,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001000000000000000000000000010000010101101010000110001000100000011000001011110000110100001110101000111010011111110100110"""
"Cmpd69,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001000000000000000000000000010000010101001010100110001000100000111000011011110001110110001110101100111010011111110100110"""
"Cmpd70,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001000000000000000000000000000000010000001001000000000000100000001000001000010000110110001010100000110000111101010000100"""
"Cmpd71,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000000000000000000000010000000110000010101001000100110000000100010111001011011110010110110001110111000111110111111111100110"""
"Cmpd72,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001100000000000000000000010001000010000001000000000010000100000001000001000010010100110001010100010110010111101010001110"""
"Cmpd73,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001000000000000000000000000010000000101000000100110001000000000111000011011110000110010001110101000111010011111110100110"""
"Cmpd74,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001000000000000000010000000010000000101000000100110001000000010111001011011110000110010001110111000111110011111111100110"""
"Cmpd75,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001000000000000000010000000010000000101000000100110001000000010111001111011110000110010001110111000111110011111111100110"""
"Cmpd76,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001000000000000000000000000010001001111000001100110001000100010111000111011110000110110001110111000111111011111111100110"""
"Cmpd77,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000100000100000000000011000000000000000000000000010000000101000100100111001010001000111000011011111000111010001110101000111010011111110100110"""
"Cmpd78,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000100000100000000000011000000000000000000000000010000000101000000100110001010001000111000011011111000111010001110101000111010011111110100110"""
"Cmpd79,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000100000100000000000011100000000000000000000010011000000111000011100110011010101000111000011011111010111110001110101010111011111111110101110"""
"Cmpd80,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000100000100000000000011100000000000100010000010011000000111000011100110011010101000111000011011111010111110001110101011111011111111110101110"""
"Cmpd81,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000100000100000000000011100000000000100010000010011000000111000011100110011010101000111000011011111010111110001110101011111011111111110101110"""
"Cmpd82,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000100000100000000010011100000000000000000000010001000000011000011100100011010101000111000011000111110111111011010101011111011111111110101110"""
"Cmpd83,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000100000100000000010011100000000000000000000010001000000011000011110101011010101011111100011000111111111111011010111111111111111111111101110"""
"Cmpd84,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000101100000100000000010011100000010000000000000010001000000111000011100111011010111001111100011010111110111111011110101011111011111111110101110"""
"Cmpd85,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000100100000100000000010011100000000000000000000010011000000111000011100110010010111000111000011011111110111110011110101011111011111111110101110"""
"Cmpd86,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000100000100000000000011100000000000000000000010001000000011000011100100011010101000111000011000111010111111001010101011111011111111110101110"""
"Cmpd87,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000100000100000000000011100000000000100010000010011000000111000011100110011010101000111000011011111110111110001110101011111011111111110101110"""
"Cmpd88,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000100000100000000000011100000000000100010000010011000000111000011100110011010101000111000011011111110111110001110101011111011111111110101110"""
"Cmpd89,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000100000100000000000011100000000000000010000010011000000111000011100110011010101000111000011011111110111110001110101011111011111111110101110"""
"Cmpd90,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000100000100000000000011100000000100001000000010011000010111001011100110011010101000111000011011111110111110001110101011111011111111110101110"""
"Cmpd91,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000100000100000000000011100000000100001000000010011000010111001011100110011010101000111000011011111110111110001110101011111011111111110101110"""
"Cmpd92,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000100000100000000000011100000000000001000000010011000010111001011110110011010101010111000111011111010111110001110111010111111111111111101110"""
"Cmpd93,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000100000100000000000011100000000000001000000010011000010111001011110110011010101010111000111011111010111110001110111010111111111111111101110"""
"Cmpd94,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000100000100000000000011100000000000001000000010011000010111001011110110011010101010111000111011111010111110001110111010111111111111111101110"""
"Cmpd95,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000100000110000000000011100000000000000000000010011000010111001011100110011010111000111000011011111010111110001110101010111011111111110101110"""
"Cmpd96,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000100000100000000000011100000000000000000000010011000000111000011100111011010101000111000011011111011111110001111101110111011111111110101110"""
"Cmpd97,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000100000100000000000011100000000000000000000010011000000111000011100111011010101000111000011011111011111110001111101110111011111111110101110"""
"Cmpd98,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001000110000000000000000000000000010000001010100100000000100000111000011000110000100110001010101000111001011111110100100"""
"Cmpd99,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000010001000110000000000100000000011111110100001000100110010000100000111000010111110000100110001110101010101011011111110100110"""
"Cmpd100,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000010001000100000000000100000000011111110100001010100110010000100000111000011111110000100110001110101010111011011111110100110"""
"Cmpd101,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000100000000100000000010001100010000000000100000000011000010100001010100110010000110000111000010011110100100110001110101010101011011111110101110"""
"Cmpd102,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001000010000000000010000000100000010000001010100100000000100010111001011000110000000110001000111000111101001111111100100"""
"Cmpd103,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000100000000100000000010001100010000000000100000000011000010100001010100110010000110010111000010011110100000100001100111010101111001111111101110"""
"Cmpd104,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000100000000100000000010001100010000000000100000000011000010100001010100110010000110010111000010011110100000100001100111010101111001111111101110"""
"Cmpd105,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000100000000100000000010001100010000000000110000000111000010100001010100110010000110010111001010011110100000100001100111010101111001111111101110"""
"Cmpd106,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000100000000100000000010001100100000000000100000000011000010100001010100110010000110000111000011011110100100110001110101010111011011111110101110"""
"Cmpd107,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000100000000100000000010001100100000000000100000000011000010100001010100110010000110000111000011011110100100110001110101010111011011111110101110"""
"Cmpd108,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000100000000100000000010001100100000000000110000000011000010100001010100110010000110010111001010011110100000100001110111010101111011111111101110"""
"Cmpd109,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000100000000100000000010001100100000000000110000000011000010100001010100110010000110010111001010011110100000100001110111010101111011111111101110"""
"Cmpd110,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001000010000000000010000000100000010000001010100100000000100010111001011000110000000110001000111000111101001111111100100"""
"Cmpd111,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001000010000000000000000000000000011000001000100100000000100000111000010000110000100110001010101000101001011111110100100"""
"Cmpd112,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001000010000000000000000000000000010000001010100100000000100010111000010000110000000100001010111000101101011111111100100"""
"Cmpd113,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001000010000000000000000000000000010000001010100100000000100010111000010000110000000100001010111000101101011111111100100"""
"Cmpd114,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001000010000000000010000000100000010000001010100100000000100010111001010000110000000100001010111000101101011111111100100"""
